iter	RMSE
0	565.9849821
1	341.5707772
2	244.7225117
3	206.1226518
4	189.9985453
5	182.3959145
6	177.0903855
7	173.6101318
8	170.7927369
9	169.1245408
10	166.2583972
11	163.3616344
12	160.1832823
13	156.7948603
14	154.3995051
15	151.9060288
16	150.2689867
17	148.0658755
18	145.6952805
19	143.1719641
20	141.2010383
21	139.9520403
22	138.2951916
23	136.6214357
24	134.5304602
25	133.7064229
26	132.0518884
27	130.4205995
28	128.7996688
29	127.4820786
30	126.4728552
31	125.3712118
32	124.0387407
33	123.6484764
34	122.8270994
35	121.5419432
36	120.5349889
37	119.3585508
38	118.3330909
39	117.4150361
40	116.0816144
41	115.1544894
42	114.3848332
43	113.5706008
44	112.5854749
45	111.5691461
46	110.8796744
47	110.1178572
48	109.5426794
49	109.0159113
50	108.191322
51	107.6442971
52	106.4979455
53	105.6079869
54	105.0795587
55	104.3808019
56	103.7691565
57	103.0730835
58	102.6574554
59	101.9082399
60	101.4119336
61	100.7952191
62	100.0739844
63	99.37101755
64	98.62891857
65	98.01122182
66	97.63103989
67	97.21001767
68	96.81616115
69	96.1922052
70	95.70961697
71	95.44001962
72	94.99966966
73	94.4292202
74	93.8357357
75	93.38995706
76	93.02660411
77	92.55624389
78	92.10553644
79	91.25217667
80	90.85353887
81	90.31333532
82	89.95454906
83	89.52516269
84	89.20120559
85	88.9496822
86	88.61410932
87	88.12410538
88	87.90853014
89	87.40076941
90	87.01679743
91	86.61403233
92	86.29922507
93	85.9606917
94	85.42971248
95	85.07074883
96	84.69508568
97	84.39676059
98	84.01976025
99	83.59567572
